"","app","category","reviews","installs","type_bin","grupo_edades","genre","size_num_imp","rating_imp","android_ver_imp","ano_act"
"611","Block Puzzle : Night in Egypt","FAMILY",276,50000,"0","4+","Puzzle",16000,4.4,2.3,"2017"
"612","Mosaic puzzles","FAMILY",1595,396371.74,"0","4+","Puzzle",14000,4.4,4,"2018"
"613","Chess School for Beginners","FAMILY",879,100000,"0","4+","Board",41465.92,4.3,4.1,"2018"
"614","RISK: Global Domination","FAMILY",6673.4316,396371.74,"0","4+","Board",41465.92,4,4.4,"2018"
"615","Pino chess","FAMILY",60.9999999999998,1000,"0","4+","Casual",25000,4.8,4,"2017"
"616","Chess PRO Free","FAMILY",1123,100000,"0","4+","Board",5700,3.8,2.3,"2016"
"617","Children Educational Game Full","FAMILY",30,1000,"1","4+","Educational",14000,4.7,2.3,"2018"
"618","All-in-One Mahjong 3 FREE","FAMILY",566,50000,"0","4+","Board",17000,4.5,4,"2018"
"619","Hactar Go","FAMILY",97,1000,"1","4+","Board",3500,4.8,4,"2018"
"620","All-in-One Mahjong 3","FAMILY",38,100,"1","4+","Board",16000,4.4,4,"2018"
"621","World Racers family board game","FAMILY",4.00000000000023,100,"1","4+","Board",41465.92,4.8,5.1,"2015"
"622","SweetLand — Family Board Game","FAMILY",38,1000,"1","4+","Casual",41465.92,4.2,2.3,"2014"
"623","Steam: Rails to Riches","FAMILY",214,5000,"1","4+","Board",41465.92,4.2,4.1,"2017"
"624","Whoowasit? - Best kids game!","FAMILY",248,5000,"1","4+","Board",26000,4,4.1,"2018"
"625","Lanterns: The Harvest Festival","FAMILY",185,1000,"1","4+","Board",41465.92,4.7,4.1,"2018"
"626","Tsuro - The Game of the Path","FAMILY",2195,10000,"1","4+","Board",37000,4.7,2.3,"2016"
"627","THE aMAZEing Labyrinth","FAMILY",1615,10000,"1","4+","Board",1200,3.9,4,"2016"
"628","Chess and Mate","FAMILY",359,5000,"1","4+","Board",17000,4.5,2.3,"2015"
"629","Kids Balloon Pop Game Free 🎈","FAMILY",6673.4316,396371.74,"0","4+","Casual",19000,4.1,4,"2018"
"630","Sounds for Toddlers FREE","FAMILY",6190,396371.74,"0","4+","Educational",23000,4.4,4,"2015"
"631","Elmo Calls by Sesame Street","FAMILY",6673.4316,396371.74,"0","4+","Educational",25000,3.9,2.3,"2018"
"632","Sago Mini Friends","FAMILY",6673.4316,396371.74,"0","4+","Education",41465.92,4.4,4,"2016"
"633","Tee and Mo Bath Time Free","FAMILY",418,100000,"0","4+","Educational",41465.92,3.6,4,"2016"
"634","Bita and the Animals - Pelos Ares","FAMILY",1160,100000,"0","4+","Education",37000,4.4,2.2,"2013"
"635","TO-FU Oh!SUSHI","FAMILY",6673.4316,396371.74,"0","4+","Education",41465.92,4.1,4.4,"2018"
"636","DreamWorks Friends","FAMILY",1042,100000,"0","4+","Role Playing",41465.92,3.6,4.3,"2017"
"637","Avokiddo Emotions","FAMILY",73,1000,"1","4+","Education",12000,4.6,4,"2018"
"638","Nighty Night Circus","FAMILY",382,10000,"1","4+","Education",15000,4.3,2.3,"2017"
"639","Sago Mini Babies","FAMILY",253,10000,"1","4+","Education",41465.92,4.5,4,"2016"
"640","Dr. Panda & Toto's Treehouse","FAMILY",3396,50000,"1","4+","Casual",9500,4.4,4,"2014"
"641","ROBLOX","FAMILY",6673.4316,396371.74,"0","9+","Adventure",41465.92,4.5,4.1,"2018"
"642","PlayKids - Educational cartoons and games for kids","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",5200,4.1,4.1,"2018"
"643","YouTube Kids","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",12000,4.5,4.1,"2018"
"644","Fun Kid Racing - Motocross","FAMILY",6673.4316,396371.74,"0","4+","Racing",26000,4.1,4.2,"2018"
"645","Barbie Life™","FAMILY",6673.4316,396371.74,"0","4+","Casual",41465.92,3.9,4.1,"2018"
"646","Palace Pets in Whisker Haven","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",14000,4.1,4.2,"2017"
"647","Sweet Baby Girl - Dream House and Play Time","FAMILY",6673.4316,396371.74,"0","4+","Educational",41465.92,3.9,4.4,"2018"
"648","Monster High™","FAMILY",6673.4316,396371.74,"0","4+","Casual",22000,4.1,4.1,"2018"
"649","Hello Kitty Lunchbox","FAMILY",6673.4316,396371.74,"0","4+","Casual",15000,4.2,4.1,"2017"
"650","Duolingo: Learn Languages Free","FAMILY",6673.4316,396371.74,"0","4+","Education",27000,4.7,4,"2018"
"651","Sweet Baby Girl Newborn Baby","FAMILY",6673.4316,396371.74,"0","4+","Educational",41465.92,3.8,4.4,"2018"
"652","COOKING MAMA Let's Cook!","FAMILY",6673.4316,396371.74,"0","4+","Educational",41465.92,4.3,4.1,"2018"
"653","Ever After High™ Charmed Style","FAMILY",6673.4316,396371.74,"0","4+","Casual",41465.92,3.9,4,"2016"
"654","Fun Kid Racing","FAMILY",6673.4316,396371.74,"0","4+","Racing",33000,4,4.2,"2018"
"655","Learn to Read with Tommy Turtle","FAMILY",6673.4316,396371.74,"0","4+","Educational",4300,4,2.3,"2018"
"656","Frozen Free Fall","FAMILY",6673.4316,396371.74,"0","4+","Puzzle",37000,4.3,4.2,"2018"
"657","Nick","FAMILY",6673.4316,396371.74,"0","9+","Entertainment",25000,4.2,4.4,"2018"
"658","Mad Libs","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",41465.92,4,6,"2018"
"659","ABCmouse.com","FAMILY",6673.4316,396371.74,"0","4+","Education",41465.92,4.3,4.4,"2018"
"660","My Little Pony Celebration","FAMILY",6673.4316,396371.74,"0","4+","Simulation",17000,4.3,2.3,"2016"
"661","Thomas & Friends: Delivery","FAMILY",6673.4316,396371.74,"0","4+","Casual",17000,4.2,2.3,"2016"
"662","Nasty Goats","FAMILY",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.3,4,"2016"
"663","Starfall Free & Member","FAMILY",6673.4316,396371.74,"0","4+","Education",41000,4.2,4,"2017"
"664","Animal Jam - Play Wild!","FAMILY",6673.4316,396371.74,"0","4+","Casual",41465.92,4.6,4.1,"2018"
"665","Video Editor","FAMILY",6673.4316,396371.74,"0","4+","Video Players & Editors",23000,4.1,4.3,"2018"
"666","Real Racing 3","FAMILY",6673.4316,396371.74,"0","4+","Racing",41465.92,4.5,4.1,"2018"
"667","Peak – Brain Games & Training","FAMILY",6673.4316,396371.74,"0","4+","Education",2500,4.4,5,"2018"
"668","Minecraft","FAMILY",6673.4316,396371.74,"1","9+","Arcade",14000,4.5,5,"2018"
"669","Card Wars - Adventure Time","FAMILY",6673.4316,396371.74,"1","9+","Card",23000,4.3,2.3,"2016"
"670","aa","FAMILY",6673.4316,396371.74,"0","4+","Strategy",6500,4.2,4.1,"2018"
"671","A Call From Santa Claus!","FAMILY",3720,396371.74,"0","4+","Entertainment",11000,3.9,4,"2016"
"672","Rope Hero Return of a Legend","GAME",6673.4316,396371.74,"0","17+","Arcade",41465.92,4.3,2.3,"2016"
"673","A Word A Day","FAMILY",2398,396371.74,"0","4+","Education",2900,3.7,4,"2017"
"674","Draw a Stickman: EPIC 2 Free","GAME",6673.4316,396371.74,"0","4+","Adventure",24000,4.3,4,"2018"
"675","Akinator","FAMILY",6673.4316,396371.74,"0","12+","Entertainment",41465.92,4.3,4.4,"2018"
"676","Dog Sim Online: Raise a Family","FAMILY",6673.4316,396371.74,"0","12+","Simulation",41465.92,4.6,4,"2018"
"677","Pou","FAMILY",6673.4316,396371.74,"0","4+","Casual",24000,4.3,4,"2018"
"678","Agar.io","GAME",6673.4316,396371.74,"0","4+","Action",32000,4.2,4,"2018"
"679","Color by Number - Draw Sandbox Pixel Art","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",15000,4.6,4.1,"2018"
"680","Angry Birds Classic","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.4,4.1,"2018"
"681","Build a Bridge!","FAMILY",6673.4316,396371.74,"0","4+","Puzzle",41465.92,4.6,4.1,"2018"
"682","UNO ™ & Friends","GAME",6673.4316,396371.74,"0","4+","Card",3700,4.1,2.2,"2017"
"683","Find a Way: Addictive Puzzle","FAMILY",6673.4316,396371.74,"0","4+","Puzzle",14000,4.8,4.1,"2017"
"684","CompTIA A+ Pocket Prep","FAMILY",1311,10000,"0","4+","Education",14000,4.3,4.4,"2018"
"685","My Talking Tom","FAMILY",6673.4316,396371.74,"0","4+","Casual",17000,4.5,4.1,"2018"
"686","Netflix","FAMILY",6673.4316,396371.74,"0","12+","Entertainment",2300,4.4,4.1,"2018"
"687","Comptia A+ 220-901 & 220-902","FAMILY",174,10000,"0","4+","Education",5700,4.4,4.1,"2018"
"688","Create A Superhero HD","FAMILY",6673.4316,396371.74,"0","12+","Casual",19000,3.3,2.3,"2017"
"689","4 in a Row","GAME",4257,396371.74,"0","4+","Board",3300,3.8,2.2,"2018"
"690","Bubble Shooter","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.5,2.3,"2017"
"691","Subway Surfers","GAME",6673.4316,396371.74,"0","9+","Arcade",41465.92,4.5,4.1,"2018"
"692","Super Mario Run","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,3.7,4.2,"2018"
"693","STARDOM: THE A-LIST","GAME",6673.4316,396371.74,"0","12+","Adventure",29000,4.5,2.1,"2014"
"694","The Tribez: Build a Village","FAMILY",6673.4316,396371.74,"0","4+","Simulation",12000,4.4,4,"2018"
"695","Photo Warp","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",13000,3.7,4,"2017"
"696","LEGO® Juniors Create & Cruise","FAMILY",6673.4316,396371.74,"0","4+","Educational",41465.92,4.1,4.1,"2018"
"697","CompTIA Exam Training","FAMILY",3053,50000,"0","4+","Education",17000,4.8,4.2,"2018"
"698","Glow Hockey","GAME",6673.4316,396371.74,"0","4+","Arcade",5900,4.1,4.1,"2018"
"699","Pokémon GO","GAME",6673.4316,396371.74,"0","4+","Adventure",41465.92,4.1,4.4,"2018"
"700","My Talking Angela","FAMILY",6673.4316,396371.74,"0","4+","Casual",41465.92,4.5,4.1,"2018"
"701","YouTube Kids","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",14000,4.5,4.1,"2018"
"702","Asphalt 8: Airborne","GAME",6673.4316,396371.74,"0","12+","Racing",41465.92,4.5,4,"2018"
"703","PAC-MAN","GAME",6673.4316,396371.74,"0","4+","Arcade",37000,4.2,4.1,"2018"
"704","Colorfy: Coloring Book for Adults - Free","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",18000,4.5,4.1,"2018"
"705","Lep's World 2 🍀🍀","GAME",6673.4316,396371.74,"0","9+","Arcade",41465.92,4.3,4.1,"2018"
"706","Wolfify - Be a Werewolf","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",26000,3.8,3.2,"2015"
"707","Law of Creation: A Playable Manga","GAME",6673.4316,396371.74,"0","12+","Adventure",41465.92,4.5,4,"2018"
"708","Real City Car Driver","GAME",6673.4316,396371.74,"0","17+","Racing",22000,3.7,4.1,"2018"
"709","Toca Kitchen 2","FAMILY",6673.4316,396371.74,"0","4+","Educational",41465.92,4.5,4.1,"2017"
"710","Rolling Sky","GAME",6673.4316,396371.74,"0","4+","Board",41465.92,4.5,4,"2018"
"711","Gymnastics Superstar - Spin your way to gold!","FAMILY",6673.4316,396371.74,"0","4+","Role Playing",34000,4.6,4.1,"2018"
"712","SuperCity: Build a Story","FAMILY",6673.4316,396371.74,"0","4+","Simulation",41465.92,4.4,4.1,"2018"
"713","4 in a row","GAME",6673.4316,396371.74,"0","4+","Board",4100,4.3,1.5,"2016"
"714","Four In A Line Free","GAME",6673.4316,396371.74,"0","4+","Board",11000,4.3,4.1,"2018"
"715","Flow Free","FAMILY",6673.4316,396371.74,"0","4+","Puzzle",11000,4.3,4.1,"2018"
"716","Like A Boss","FAMILY",6673.4316,396371.74,"0","9+","Role Playing",41465.92,4.4,5,"2018"
"717","Hungry Hearts Diner: A Tale of Star-Crossed Souls","FAMILY",6673.4316,396371.74,"0","9+","Simulation",41465.92,4.9,4,"2018"
"718","Dragon Sim Online: Be A Dragon","FAMILY",6673.4316,396371.74,"0","12+","Simulation",41465.92,4.6,4,"2018"
"719","Alto's Adventure","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.6,4,"2018"
"720","Draw A Stickman","GAME",6673.4316,396371.74,"0","4+","Adventure",17000,3.4,4,"2017"
"721","Zombie Tsunami","GAME",6673.4316,396371.74,"0","9+","Arcade",41465.92,4.4,4.1,"2018"
"722","Cat Sim Online: Play with Cats","FAMILY",6673.4316,396371.74,"0","9+","Simulation",41465.92,4.6,4,"2018"
"723","Four In A Line","GAME",6673.4316,396371.74,"0","4+","Board",3000,3.8,2.3,"2015"
"724","Disney Magic Timer by Oral-B","FAMILY",6673.4316,396371.74,"0","4+","Health & Fitness",41465.92,3.9,4.2,"2018"
"725","Block Craft 3D: Building Simulator Games For Free","FAMILY",6673.4316,396371.74,"0","4+","Simulation",41465.92,4.5,4,"2018"
"726","Cardi B Piano Game","GAME",50,10000,"0","4+","Music",7400,3.1,4,"2017"
"727","MORTAL KOMBAT X","GAME",6673.4316,396371.74,"0","17+","Action",18000,4.4,4,"2018"
"728","► MultiCraft ― Free Miner! 👍","GAME",6673.4316,396371.74,"0","9+","Adventure",35000,4.3,4.1,"2018"
"729","Pixel Gun 3D: Survival shooter & Battle Royale","GAME",6673.4316,396371.74,"0","12+","Action",41465.92,4.5,4,"2018"
"730","B-52 Spirits of Glory Deluxe","GAME",12,100,"1","4+","Arcade",29000,4.3,2.3,"2017"
"731","Hungry Shark Evolution","GAME",6673.4316,396371.74,"0","12+","Arcade",41465.92,4.5,4.1,"2018"
"732","Perfect Piano","GAME",6673.4316,396371.74,"0","4+","Music",5100,4.2,5,"2018"
"733","Hay Day","FAMILY",6673.4316,396371.74,"0","4+","Casual",41465.92,4.5,4,"2018"
"734","B-Grade Renegade","GAME",23.9999999999998,1000,"1","12+","Action",41465.92,3.9,3.2,"2017"
"735","Block! Hexa Puzzle™","FAMILY",6673.4316,396371.74,"0","4+","Puzzle",13000,4.5,4.1,"2018"
"736","CURSUM B","GAME",30,500,"1","4+","Racing",26000,4,2.3,"2017"
"737","Clash of Clans","FAMILY",6673.4316,396371.74,"0","9+","Strategy",41465.92,4.6,4.1,"2018"
"738","Clash Royale","FAMILY",6673.4316,396371.74,"0","9+","Strategy",41465.92,4.6,4.1,"2018"
"739","C Programming","FAMILY",6673.4316,396371.74,"0","4+","Education",1800,4.3,2.3,"2015"
"740","CppDroid - C/C++ IDE","FAMILY",6673.4316,396371.74,"0","4+","Education",29000,4.1,5.1,"2017"
"741","Learn C [NEW]","FAMILY",349,50000,"0","4+","Education",11000,4.5,4,"2018"
"742","Mobile C [ C/C++ Compiler ]","FAMILY",4624,100000,"0","4+","Education",41465.92,4.3,4,"2018"
"743","Critical Ops","GAME",6673.4316,396371.74,"0","12+","Action",41465.92,4.4,4.4,"2018"
"744","C4droid - C/C++ compiler & IDE","FAMILY",2890,50000,"1","4+","Education",11000,4.7,4.1,"2017"
"745","Candy Crush Saga","FAMILY",6673.4316,396371.74,"0","4+","Casual",41465.92,4.4,4.1,"2018"
"746","Learn C++","FAMILY",6673.4316,396371.74,"0","4+","Education",5300,4.6,4,"2017"
"747","C Programming Zone","FAMILY",1218,50000,"0","4+","Education",4000,4.6,4,"2017"
"748","All C Programs","FAMILY",2387,100000,"0","4+","Education",6900,4.7,4.1,"2018"
"749","C-SPAN Radio","FAMILY",608,100000,"0","4+","Entertainment",5400,3.6,4.1,"2018"
"750","learn c in hindi","FAMILY",109,5000,"0","4+","Education",2700,4.3,4,"2017"
"751","Learn C Programming (Examples) (OFFLINE)","FAMILY",43,10000,"0","4+","Education",3700,4.3,4.1,"2017"
"752","C Programming - Learn Code, Theory & Discuss","FAMILY",2751,100000,"0","4+","Education",7000,4.5,4,"2018"
"753","Expert C Programming - Learn C Coding Easily","FAMILY",77,5000,"0","4+","Education",6900,4.4,5,"2018"
"754","Hill Climb Racing","GAME",6673.4316,396371.74,"0","4+","Racing",41465.92,4.4,4.2,"2018"
"755","codeEazy - C/C++/JAVA","FAMILY",130,10000,"0","4+","Education",2200,4.6,4,"2016"
"756","Batmobile™ R/C Controller","FAMILY",452,100000,"0","4+","Entertainment",30000,3.7,4.4,"2018"
"757","C Pattern Programs Free","FAMILY",4115,100000,"0","4+","Education",5800,4.5,4,"2018"
"758","C Functions","FAMILY",55,1000,"0","4+","Education",1500,4.8,4,"2015"
"759","Learn C# - .Net - C Sharp Programming Tutorial App","FAMILY",1320,100000,"0","4+","Education",8600,4,4.1,"2018"
"760","Learn Basic C - For Beginners","FAMILY",27,5000,"0","4+","Education",772,4.7,3,"2016"
"761","C Prowess","FAMILY",306,5000,"0","4+","Education",3300,4.8,4.1,"2017"
"762","101 C Programming Problems","FAMILY",498,50000,"0","4+","Education",5000,4.6,4,"2017"
"763","Let us C - Example Programs","FAMILY",36.0000000000002,5000,"0","4+","Education",1100,4.3,3,"2017"
"764","C Examples","FAMILY",1002,10000,"0","4+","Education",4400,4.2,4,"2016"
"765","C BOOK-C PROGRAMS","FAMILY",138,10000,"0","4+","Education",2100,4.8,3,"2017"
"766","100+ C Programs","FAMILY",20,5000,"0","4+","Education",1600,4.2,4,"2017"
"767","Hitman Sniper","GAME",6673.4316,396371.74,"1","17+","Action",29000,4.6,4.1,"2018"
"768","FRONTLINE COMMANDO: D-DAY","GAME",6673.4316,396371.74,"0","17+","Action",14000,4.5,2.1,"2014"
"769","Minion Rush: Despicable Me Official Game","FAMILY",6673.4316,396371.74,"0","9+","Casual",41465.92,4.5,4.1,"2018"
"770","Fruit Ninja®","GAME",6673.4316,396371.74,"0","4+","Arcade",41000,4.3,4.1,"2018"
"771","Crossy Road","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.5,5,"2018"
"772","Temple Run 2","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.3,4,"2018"
"773","Beach Buggy Blitz","GAME",6673.4316,396371.74,"0","4+","Racing",41465.92,4.2,4,"2018"
"774","Vector","GAME",6673.4316,396371.74,"0","9+","Arcade",41465.92,4.4,4,"2016"
"775","Dr. Driving","GAME",6673.4316,396371.74,"0","4+","Racing",9900,4.5,4,"2018"
"776","D Day World War II Commando Survival Shooting","GAME",951,100000,"0","12+","Action",41465.92,4.2,4.1,"2018"
"777","Geometry Dash Meltdown","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.6,4,"2017"
"778","Block City Wars + skins export","FAMILY",6673.4316,396371.74,"0","12+","Simulation",28000,4.5,4,"2018"
"779","Sniper 3D Gun Shooter: Free Shooting Games - FPS","GAME",6673.4316,396371.74,"0","17+","Action",33000,4.6,5,"2018"
"780","Bike Race Free - Top Motorcycle Racing Games","GAME",6673.4316,396371.74,"0","4+","Racing",33000,4.5,4.2,"2018"
"781","Dance School Stories - Dance Dreams Come True","FAMILY",6673.4316,396371.74,"0","4+","Role Playing",36000,4.4,4.1,"2018"
"782","Plants vs. Zombies FREE","FAMILY",6673.4316,396371.74,"0","9+","Strategy",41465.92,4.4,4.1,"2018"
"783","Mind Games Pro","FAMILY",6673.4316,100000,"1","4+","Puzzle",18000,4.6,2.3,"2018"
"784","Smash Hit","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.5,2.3,"2015"
"785","Bad Piggies","FAMILY",6673.4316,396371.74,"0","4+","Puzzle",41465.92,4.3,4.1,"2017"
"786","Temple Run","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.3,4,"2018"
"787","Broken Screen Prank","FAMILY",6673.4316,396371.74,"0","12+","Casual",9800,3.3,4,"2018"
"788","Car Parking Game 3D - Real City Driving Challenge","FAMILY",6673.4316,396371.74,"0","4+","Simulation",40000,4.4,4,"2018"
"789","E!","FAMILY",740,100000,"0","12+","Entertainment",20000,3.1,4.4,"2018"
"790","Chuck E.'s Skate Universe","FAMILY",6673.4316,396371.74,"0","4+","Action",41465.92,3.9,4.3,"2017"
"791","Eventbrite - Discover popular events & nearby fun","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",8800,4.4,5,"2018"
"792","Eternium","FAMILY",6673.4316,396371.74,"0","12+","Role Playing",41465.92,4.8,4,"2018"
"793","WWE","FAMILY",6673.4316,396371.74,"0","12+","Entertainment",20000,4.5,4.1,"2018"
"794","E-cigarette for free","FAMILY",1354,396371.74,"0","17+","Entertainment",4800,3.6,2.3,"2017"
"795","World History Quick e-Book","FAMILY",1657,100000,"0","4+","Education",4900,4.4,4.1,"2018"
"796","ClassDojo","FAMILY",6673.4316,396371.74,"0","4+","Education",41465.92,4.4,4.1,"2018"
"797","Offroad Pickup Truck F","FAMILY",4551,396371.74,"0","4+","Simulation",41465.92,4.3,2.3,"2017"
"798","Talking Tom Cat 2","FAMILY",6673.4316,396371.74,"0","9+","Entertainment",41465.92,4.3,4.1,"2018"
"799","Super Car F. Mod for MCPE","GAME",214,50000,"0","4+","Adventure",4900,3.6,4.2,"2018"
"800","Dumb Ways to Die 2: The Games","FAMILY",6673.4316,396371.74,"0","12+","Casual",8700,4.2,4.4,"2018"
"801","Speech Therapy: F","FAMILY",1,10,"1","4+","Education",16000,1,2.3,"2016"
"802","RPG End of Aspiration F","FAMILY",6673.4316,396371.74,"0","12+","Role Playing",31000,4.4,2.3,"2016"
"803","F-Sim Space Shuttle","FAMILY",5427,100000,"1","4+","Simulation",41465.92,4.4,4,"2014"
"804","Norwegian For Kids & Babies F","FAMILY",0,5,"1","4+","Education",14000,4.8,4,"2015"
"805","Geometry Dash World","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.6,4,"2017"
"806","PUBG MOBILE","GAME",6673.4316,396371.74,"0","12+","Action",36000,4.4,4.3,"2018"
"807","Gangstar Vegas - mafia game","GAME",6673.4316,396371.74,"0","17+","Action",32000,4.5,4.1,"2018"
"808","Granny","GAME",6673.4316,396371.74,"0","12+","Arcade",41465.92,4.5,4,"2018"
"809","Offroad Car G","FAMILY",6673.4316,396371.74,"0","4+","Simulation",37000,4.3,2.3,"2016"
"810","Rolling G Sky","GAME",2065,100000,"0","4+","Adventure",25000,3.6,2.3,"2017"
"811","G-Switch 2","GAME",6673.4316,396371.74,"0","4+","Action",19000,4.4,2.3,"2018"
"812","G-Switch 3","GAME",3656,100000,"0","4+","Action",39000,4.6,3,"2018"
"813","G-Switch","GAME",4116,100000,"0","4+","Action",8800,3.8,2.3,"2015"
"814","Offroad G-Class 2018","FAMILY",6673.4316,396371.74,"0","4+","Simulation",28000,4.4,4.1,"2018"
"815","Radial-G : Infinity","GAME",517,50000,"0","4+","Arcade",41465.92,3.6,4.1,"2015"
"816","Helix Jump","GAME",6673.4316,396371.74,"0","4+","Action",33000,4.2,4.1,"2018"
"817","Offroad Car H","FAMILY",1960,100000,"0","4+","Simulation",41465.92,4.2,2.3,"2017"
"818","Guns - Shot Sounds","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",10000,3.8,4,"2018"
"819","Geometry Dash Lite","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.5,4,"2017"
"820","Car Driving Simulator Drift","GAME",6673.4316,396371.74,"0","4+","Racing",41465.92,4.4,4.4,"2017"
"821","most expensive app (H)","FAMILY",6,100,"1","4+","Entertainment",1500,4.3,7,"2018"
"822","Elkhart County 4-H Fair","FAMILY",38,5000,"0","4+","Entertainment",41465.92,3.9,4.1,"2018"
"823","H TV","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",5600,4.3,2.3,"2018"
"824","The World Ends With You","GAME",4108,10000,"1","9+","Arcade",13000,4.6,4,"2015"
"825","MJX H","FAMILY",126,10000,"0","4+","Entertainment",13000,3.7,4.1,"2017"
"826","RC City Police Heavy Traffic Racer","GAME",3250,396371.74,"0","4+","Racing",27000,4.4,4,"2018"
"827","Ohio State Fair 4-H","FAMILY",4.00000000000023,1000,"0","4+","Entertainment",19000,3,4.1,"2018"
"828","Talking Ben the Dog","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",41465.92,4.3,4.1,"2018"
"829","My Android Device S/W & H/W","FAMILY",681,50000,"0","4+","Education",2800,4.5,2.3,"2015"
"830","Talking Ginger","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",41465.92,4.2,4.1,"2018"
"831","D+H Reaction Wall","GAME",0,1,"1","4+","Arcade",41465.92,4,4.2,"2016"
"832","Motorbike Driving Simulator 3D","GAME",6673.4316,396371.74,"0","4+","Racing",41465.92,3.9,2.3,"2016"
"833","Helix","GAME",2454,396371.74,"0","4+","Arcade",37000,3.9,4,"2017"
"834","I am Nose Doctor -Save my Nose","FAMILY",3133,396371.74,"0","4+","Casual",34000,4.2,3.1,"2016"
"835","What was I in my Past Life","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",6500,3.7,4.1,"2017"
"836","How Old am I?","FAMILY",4635,396371.74,"0","4+","Entertainment",3900,2.8,4,"2018"
"837","slither.io","GAME",6673.4316,396371.74,"0","4+","Action",2200,4.4,2.3,"2017"
"838","Where's My Water? Free","FAMILY",6673.4316,396371.74,"0","4+","Puzzle",41465.92,4.4,4.1,"2017"
"839","Solitaire!","GAME",6673.4316,396371.74,"0","4+","Card",23000,4.7,4.1,"2018"
"840","iGun Pro -The Original Gun App","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.2,2.3,"2017"
"841","Sonic Dash","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.5,4.1,"2018"
"842","LINE I Love Coffee","FAMILY",6673.4316,396371.74,"0","4+","Simulation",41465.92,4,2.3,"2016"
"843","NinJump","GAME",6673.4316,396371.74,"0","4+","Arcade",36000,4.3,4.1,"2018"
"844","Zombie Catchers","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.7,4.1,"2018"
"845","I LOVE PASTA","FAMILY",6673.4316,396371.74,"0","4+","Simulation",41465.92,4,2.3,"2017"
"846","Talking Tom Cat","FAMILY",6673.4316,396371.74,"0","9+","Casual",41465.92,4.3,4.1,"2018"
"847","Fidget Spinner","GAME",6673.4316,396371.74,"0","4+","Arcade",9900,4.2,2.1,"2017"
"848","Jetpack Joyride","GAME",6673.4316,396371.74,"0","9+","Arcade",41465.92,4.4,4.1,"2018"
"849","J-Novel Club","FAMILY",162,10000,"0","12+","Entertainment",9000,3.3,4.1,"2017"
"850","Anger of stick 5 : zombie","GAME",6673.4316,396371.74,"0","12+","Action",23000,4.5,2.3,"2018"
"851","Cook Baked Lasagna","FAMILY",6673.4316,396371.74,"0","4+","Casual",23000,4.2,4,"2018"
"852","Tom's Love Letters","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",35000,4.1,4.1,"2018"
"853","Cut the Rope FULL FREE","FAMILY",6673.4316,396371.74,"0","4+","Puzzle",41465.92,4.4,4.1,"2018"
"854","J-UFO","FAMILY",339,100000,"0","4+","Entertainment",2700,3.5,4,"2017"
"855","Cut the Rope GOLD","FAMILY",6673.4316,396371.74,"1","4+","Puzzle",41465.92,4.6,4.1,"2018"
"856","Turbo FAST","FAMILY",6673.4316,396371.74,"0","4+","Racing",41465.92,4.3,2.3,"2017"
"857","The Voice, sing and connect","FAMILY",6673.4316,396371.74,"0","4+","Entertainment",24000,4.1,4.2,"2018"
"858","Harris J Lyrics","FAMILY",36.0000000000002,1000,"0","4+","Entertainment",7100,4.7,4,"2018"
"859","J.ME Fly","FAMILY",28,1000,"0","4+","Entertainment",41465.92,3.9,4.4,"2018"
"860","J Balvin Piano Tiles","GAME",6,500,"0","4+","Music",30000,4.4,4.1,"2018"
"861","Guess the song of J Balvin","GAME",28,1000,"0","4+","Trivia",8900,4.1,4.1,"2017"
"862","J-Stars Victory VS Guide","GAME",609,10000,"0","4+","Action",13000,4.1,2.2,"2014"
